reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Burundi,Kenya,7440,16383,40833
Burundi,Belgium,15218,14853,14983
Burundi,Uganda,4778,6267,10076
Burundi,United States of America,5299,1714,2966
Burundi,France,13179,8744,10370
Burundi,"Tanzania, United Republic of",6120,7089,4765
Burundi,Italy,3052,4187,3905
Burundi,Japan,1145,1265,3066
Burundi,Germany,6266,3408,5573
Burundi,Netherlands,4803,2284,2078
Burundi,India,3191,4401,4657
Burundi,South Africa,2795,3843,4122
Burundi,China,1155,2227,3445
Burundi,United Kingdom,3176,2569,3291
Burundi,Zambia,1912,2058,2743
Burundi,Denmark,656,1791,1537
Burundi,Oman,753,629,1815
Burundi,Malawi,0,0,0
Burundi,Rwanda,570,971,1241
Burundi,Thailand,782,656,557
Burundi,Canada,318,500,1759
Burundi,Australia,58,51,123
Burundi,Slovakia,3,18,300
Burundi,Indonesia,824,2044,329
Burundi,"Korea, Republic of",374,563,838
Burundi,Mauritius,361,386,414
Burundi,"Iran, Islamic Republic of",135,0,0
Burundi,Switzerland,540,510,413
Burundi,Spain,441,751,666
Burundi,Israel,1,413,6
Burundi,Zimbabwe,0,150,243
Burundi,Portugal,205,73,1223
Burundi,"Taipei, Chinese",23,0,63
Burundi,"Hong Kong, China",1026,1078,702
Burundi,Bangladesh,0,313,0
Burundi,Viet Nam,141,149,132
Burundi,Türkiye,146,80,65
Burundi,Pakistan,,,80
Burundi,Luxembourg,153,153,72
Burundi,Malta,0,28,0
Burundi,Greece,391,151,82
Burundi,Austria,4862,415,820
Burundi,Brazil,166,200,195
Burundi,Norway,27,0,24
Burundi,Argentina,0,0,0
Burundi,Ukraine,0,1247,538
Burundi,Czech Republic,0,23,101
Burundi,New Zealand,23,2,39
Burundi,Sweden,195,727,210
Burundi,Ireland,437,384,171
Burundi,Egypt,139,162,114
Burundi,Cyprus,0,41,22
Burundi,Cambodia,4,0,0
Burundi,Malaysia,16,80,0
Burundi,Latvia,0,0,0
Burundi,Lebanon,80,0,0
Burundi,Mexico,0,0,0
Burundi,Qatar,0,0,0
Burundi,Peru,0,0,65
Burundi,Belarus,0,0,0
Burundi,Finland,96,9,21
Burundi,Poland,0,0,0
Burundi,Côte d'Ivoire,245,4,1
Burundi,Niger,2,0,1
Burundi,Romania,7,3,16
Burundi,Serbia and Montenegro,1098,1448,
Burundi,Algeria,0,6771,0
Burundi,Colombia,0,10,11
Burundi,Guinea,0,0,
Burundi,Guyana,0,0,0
Burundi,Russian Federation,44,143,9
Burundi,Senegal,0,0,0
Burundi,Timor-Leste,,,
Burundi,Ghana,0,,7
Burundi,Chile,28,0,0
Burundi,Croatia,0,0,7
Burundi,Estonia,0,7,0
Burundi,Mali,0,0,1
Burundi,Botswana,0,0,0
Burundi,Bulgaria,5,15,0
Burundi,Sri Lanka,45,14,23
Burundi,Dominican Republic,1,0,1
Burundi,Ecuador,58,0,0
Burundi,El Salvador,0,5,0
Burundi,Ethiopia,0,37,0
Burundi,Hungary,46,2,8
Burundi,Jordan,17,0,0
Burundi,Madagascar,0,0,93
Burundi,Philippines,34,53,553
Burundi,Saudi Arabia,0,0,46
Burundi,Singapore,0,72,0
Burundi,Slovenia,0,0,0
Burundi,"Macedonia, North",0,0,24
